Region,State,Year,Seats
South,Texas,1970,24
South,Virginia,1970,10
Border,All Border,1970,35
Border,Kentucky,1970,7
Border,Maryland,1970,8
Border,Missouri,1970,10
Border,Oklahoma,1970,6
Border,West Virginia,1970,4
New England,All New England,1970,25
New England,Connecticut,1970,6
New England,Maine,1970,2
New England,Massachusetts,1970,12
New England,New Hampshire,1970,2
New England,Rhode Island,1970,2
New England,Vermont,1970,1
Mid-Atlantic,All Mid-Atlantic,1970,80
Mid-Atlantic,Delaware,1970,1
Mid-Atlantic,New Jersey,1970,15
Mid-Atlantic,New York,1970,39
Mid-Atlantic, Pennsylvania,1970,25
Midwest,All Midwest,1970,86
Midwest,Illinois,1970,24
Midwest,Indiana,1970,11
Midwest,Michigan,1970,19
Midwest,Ohio,1970,23
Midwest,Wisconsin,1970,9
Plains,All Plains,1970,25
Plains,Iowa,1970,6
Plains,Kansas,1970,5
Plains,Minnesota,1970,8
Plains,Nebraska,1970,3
Plains,North Dakota,1970,1
Plains,South Dakota,1970,2
Rocky Mountains,All Rocky Mountains,1970,19
Rocky Mountains,Arizona,1970,4
Rocky Mountains,Colorado,1970,5
Rocky Mountains,Idaho,1970,2
Rocky Mountains,Montana,1970,2
Rocky Mountains,Nevada,1970,1
Rocky Mountains,New Mexico,1970,2
Rocky Mountains,Utah,1970,2
Rocky Mountains,Wyoming,1970,1
Pacific Coast,All Pacific Coast,1970,57
Pacific Coast,Alaska,1970,1
Pacific Coast,California,1970,43
Pacific Coast,Hawaii,1970,2
Pacific Coast,Oregon,1970,4
Pacific Coast,Washington,1970,7
South,All South,1980,116
South,Alabama,1980,7
South,Arkansas,1980,4
South,Florida,1980,19
South,Georgia,1980,10
South,Louisiana,1980,8
South,Mississippi,1980,5
South,North Carolina,1980,11
South,South Carolina,1980,6
South,Tennessee,1980,9
South,Texas,1980,27
South,Virginia,1980,10
Border,All Border,1980,34
Border,Kentucky,1980,7
Border,Maryland,1980,8
Border,Missouri,1980,9
Border,Oklahoma,1980,6
Border,West Virginia,1980,4
New England,All New England,1980,24
New England,Connecticut,1980,6
New England,Maine,1980,2
New England,Massachusetts,1980,11
New England,New Hampshire,1980,2
New England,Rhode Island,1980,2
New England,Vermont,1980,1
Mid-Atlantic,All Mid-Atlantic,1980,72
Mid-Atlantic,Delaware,1980,1
Mid-Atlantic,New Jersey,1980,14
Mid-Atlantic,New York,1980,34
Mid-Atlantic, Pennsylvania,1980,23
Midwest,All Midwest,1980,80
Midwest,Illinois,1980,22
Midwest,Indiana,1980,10
Midwest,Michigan,1980,18
Midwest,Ohio,1980,21
Midwest,Wisconsin,1980,9
Plains,All Plains,1980,24
Plains,Iowa,1980,6
Plains,Kansas,1980,5
Plains,Minnesota,1980,8
Plains,Nebraska,1980,3
Plains,North Dakota,1980,1
Plains,South Dakota,1980,1
Rocky Mountains,All Rocky Mountains,1980,24
Rocky Mountains,Arizona,1980,5
Rocky Mountains,Colorado,1980,6
Rocky Mountains,Idaho,1980,2
Rocky Mountains,Montana,1980,2
Rocky Mountains,Nevada,1980,2
Rocky Mountains,New Mexico,1980,3
Rocky Mountains,Utah,1980,3
Rocky Mountains,Wyoming,1980,1
Pacific Coast,All Pacific Coast,1980,61
Pacific Coast,Alaska,1980,1
Pacific Coast,California,1980,45
Pacific Coast,Hawaii,1980,2
Pacific Coast,Oregon,1980,5
Pacific Coast,Washington,1980,8
South,All South,1990,125
South,Alabama,1990,7
South,Arkansas,1990,4
South,Florida,1990,23
South,Georgia,1990,11
South,Louisiana,1990,7
South,Mississippi,1990,5
South,North Carolina,1990,12
South,South Carolina,1990,6
South,Tennessee,1990,9
South,Texas,1990,30
South,Virginia,1990,11
Border,All Border,1990,32
Border,Kentucky,1990,6
Border,Maryland,1990,8
Border,Missouri,1990,9
Border,Oklahoma,1990,6
Border,West Virginia,1990,3
New England,All New England,1990,23
New England,Connecticut,1990,6
New England,Maine,1990,2
New England,Massachusetts,1990,10
New England,New Hampshire,1990,2
New England,Rhode Island,1990,2
New England,Vermont,1990,1
Mid-Atlantic,All Mid-Atlantic,1990,66
Mid-Atlantic,Delaware,1990,1
Mid-Atlantic,New Jersey,1990,13
Mid-Atlantic,New York,1990,31
Mid-Atlantic, Pennsylvania,1990,21
Midwest,All Midwest,1990,74
Midwest,Illinois,1990,20
Midwest,Indiana,1990,10
Midwest,Michigan,1990,16
Midwest,Ohio,1990,19
Midwest,Wisconsin,1990,9
Plains,All Plains,1990,22
Plains,Iowa,1990,5
Plains,Kansas,1990,4
Plains,Minnesota,1990,8
Plains,Nebraska,1990,3
Plains,North Dakota,1990,1
Plains,South Dakota,1990,1
Rocky Mountains,All Rocky Mountains,1990,24
Rocky Mountains,Arizona,1990,6
Rocky Mountains,Colorado,1990,6
Rocky Mountains,Idaho,1990,2
Rocky Mountains,Montana,1990,1
Rocky Mountains,Nevada,1990,2
Rocky Mountains,New Mexico,1990,3
Rocky Mountains,Utah,1990,3
Rocky Mountains,Wyoming,1990,1
Pacific Coast,All Pacific Coast,1990,69
Pacific Coast,Alaska,1990,1
Pacific Coast,California,1990,52
Pacific Coast,Hawaii,1990,2
Pacific Coast,Oregon,1990,5
Pacific Coast,Washington,1990,9
South,All South,2000,131
South,Alabama,2000,7
South,Arkansas,2000,4
South,Florida,2000,25
South,Georgia,2000,13
South,Louisiana,2000,7
South,Mississippi,2000,4
South,North Carolina,2000,13
South,South Carolina,2000,6
South,Tennessee,2000,9
South,Texas,2000,32
South,Virginia,2000,11
Border,All Border,2000,31
Border,Kentucky,2000,6
Border,Maryland,2000,8
Border,Missouri,2000,9
Border,Oklahoma,2000,5
Border,West Virginia,2000,3
New England,All New England,2000,22
New England,Connecticut,2000,5
New England,Maine,2000,2
New England,Massachusetts,2000,10
New England,New Hampshire,2000,2
New England,Rhode Island,2000,2
New England,Vermont,2000,1
Mid-Atlantic,All Mid-Atlantic,2000,62
Mid-Atlantic,Delaware,2000,1
Mid-Atlantic,New Jersey,2000,13
Mid-Atlantic,New York,2000,29
Mid-Atlantic, Pennsylvania,2000,19
Midwest,All Midwest,2000,69
Midwest,Illinois,2000,19
Midwest,Indiana,2000,9
Midwest,Michigan,2000,15
Midwest,Ohio,2000,18
Midwest,Wisconsin,2000,8
Plains,All Plains,2000,22
Plains,Iowa,2000,5
Plains,Kansas,2000,4
Plains,Minnesota,2000,8
Plains,Nebraska,2000,3
Plains,North Dakota,2000,1
Plains,South Dakota,2000,1
Rocky Mountains,All Rocky Mountains,2000,28
Rocky Mountains,Arizona,2000,8
Rocky Mountains,Colorado,2000,7
Rocky Mountains,Idaho,2000,2
Rocky Mountains,Montana,2000,1
Rocky Mountains,Nevada,2000,3
Rocky Mountains,New Mexico,2000,3
Rocky Mountains,Utah,2000,3
Rocky Mountains,Wyoming,2000,1
Pacific Coast,All Pacific Coast,2000,70
Pacific Coast,Alaska,2000,1
Pacific Coast,California,2000,53
Pacific Coast,Hawaii,2000,2
Pacific Coast,Oregon,2000,5
Pacific Coast,Washington,2000,9
South,All South,2010,138
South,Alabama,2010,7
South,Arkansas,2010,4
South,Florida,2010,27
South,Georgia,2010,14
South,Louisiana,2010,6
South,Mississippi,2010,4
South,North Carolina,2010,13
South,South Carolina,2010,7
South,Tennessee,2010,9
South,Texas,2010,36
South,Virginia,2010,11
Border,All Border,2010,30
Border,Kentucky,2010,6
Border,Maryland,2010,8
Border,Missouri,2010,8
Border,Oklahoma,2010,5
Border,West Virginia,2010,3
New England,All New England,2010,21
New England,Connecticut,2010,5
New England,Maine,2010,2
New England,Massachusetts,2010,9
New England,New Hampshire,2010,2
New England,Rhode Island,2010,2
New England,Vermont,2010,1
